scenario_name,algorithm_name,algorithm_type,makespan,total_energy,energy_efficiency,success_rate,execution_time,additional_metrics
complex_heterogeneous_run_5,Energy-Efficient HEFT,heuristic,58.006661115736875,5.741786994941104,8.882252170784877,1.0,0.0010950565338134766,"{'scheduled_tasks': 51, 'total_tasks': 51}"
complex_heterogeneous_run_1,Energy-Efficient HEFT,heuristic,39.77225340817963,8.907846476292669,5.837550090068653,1.0,0.0007517337799072266,"{'scheduled_tasks': 52, 'total_tasks': 52}"
complex_heterogeneous_run_2,Energy-Efficient HEFT,heuristic,26.37102394798876,5.4174192638609515,8.675717663857435,1.0,0.0006847381591796875,"{'scheduled_tasks': 47, 'total_tasks': 47}"
complex_heterogeneous_run_3,Energy-Efficient HEFT,heuristic,49.939665551839454,5.319724870674215,9.586961965109358,1.0,0.0008721351623535156,"{'scheduled_tasks': 51, 'total_tasks': 51}"
complex_heterogeneous_run_4,Energy-Efficient HEFT,heuristic,39.77272727272727,11.951455397506864,4.016247260564856,1.0,0.0006821155548095703,"{'scheduled_tasks': 48, 'total_tasks': 48}"
complex_heterogeneous_run_5,Energy-Efficient HEFT,heuristic,42.43197213083027,10.455466200550557,4.877831272345797,1.0,0.0008578300476074219,"{'scheduled_tasks': 51, 'total_tasks': 51}"
linear_abundant_run_1,Random-DRL,drl,0.0,0.0,0.0,0.0,0.0005218982696533203,"{'episode_length': 1, 'total_reward': -1000.0, 'scheduled_tasks': 0}"
linear_abundant_run_2,Random-DRL,drl,0.0,0.0,0.0,0.0,0.00030612945556640625,"{'episode_length': 1, 'total_reward': -1000.0, 'scheduled_tasks': 0}"
linear_abundant_run_3,Random-DRL,drl,0.0,0.0,0.0,0.0,0.0004000663757324219,"{'episode_length': 1, 'total_reward': -1000.0, 'scheduled_tasks': 0}"
linear_abundant_run_4,Random-DRL,drl,0.0,0.0,0.0,0.0,0.00030803680419921875,"{'episode_length': 1, 'total_reward': -1000.0, 'scheduled_tasks': 0}"
linear_abundant_run_5,Random-DRL,drl,0.0,0.0,0.0,0.0,0.0002980232238769531,"{'episode_length': 1, 'total_reward': -1000.0, 'scheduled_tasks': 0}"
